geometryid,geometryacreage,imageid,imagepath,imagedate
7EJQA2monp4IOECRfnty42,28467,94250,DE006C64S_20150715_UTM15_GS2,2015-07-15T00:00:00.000000
7EJQA2monp4IOECRfnty42,28467,26651,UK02_SL6_22P_1T_20150705T155517_20150705T155607_DMC_0_20150705_UTM16_GS2,2015-07-05T00:00:00.000000
7EJQA2monp4IOECRfnty42,28467,26812,DE006A71P_20150611_UTM16_GS2,2015-06-11T00:00:00.000000
7EJQA2monp4IOECRfnty42,28467,17577,L8_024032_20150528_UTM15_GS2,2015-05-28T00:00:00.000000
7EJQA2monp4IOECRfnty42,28467,17378,UK02_SL6_22P_1T_20150523T155759_20150523T155849_DMC_0_20150523_UTM15_GS2,2015-05-23T00:00:00.000000
7EJQA2monp4IOECRfnty42,28467,17365,UK02_SL6_22S_1T_20150523T155759_20150523T155849_DMC_0_20150523_UTM15_GS2,2015-05-23T00:00:00.000000
7EJQA2monp4IOECRfnty42,28467,16974,UK02_SL6_22P_1T_20150513T155629_20150513T155719_DMC_0_20150513_UTM16_GS2,2015-05-13T00:00:00.000000
7EJQA2monp4IOECRfnty42,28467,16821,UK02_SL6_22S_1T_20150506T154503_20150506T154553_DMC_0_20150506_UTM16_GS2,2015-05-06T00:00:00.000000
7EJQA2monp4IOECRfnty42,28467,16242,UK02_SL6_22P_1T_20150410T155856_20150410T155946_DMC_0_20150410_UTM16_GS2,2015-04-10T00:00:00.000000
7EJQA2monp4IOECRfnty42,28467,41048,L8_024032_20140829_UTM15_GS2,2014-08-29T00:00:00.000000
7EJQA2monp4IOECRfnty42,28467,42152,UK02_SL6_22S_1T_20140813T161035_20140813T161125_DMC_0_20140813_UTM15_GS2_3B,2014-08-13T00:00:00.000000
7EJQA2monp4IOECRfnty42,28467,40564,L8_024032_20140813_UTM15_GS2,2014-08-13T00:00:00.000000
7EJQA2monp4IOECRfnty42,28467,40547,UK02_SL6_22S_1T_20140813T161035_20140813T161125_DMC_0_20140813_UTM15_GS2,2014-08-13T00:00:00.000000
7EJQA2monp4IOECRfnty42,28467,42134,UK02_SL6_22P_1T_20140731T161444_20140731T161534_DMC_0_20140731_UTM15_GS2_3B,2014-07-31T00:00:00.000000
7EJQA2monp4IOECRfnty42,28467,39881,UK02_SL6_22P_1T_20140731T161444_20140731T161534_DMC_0_20140731_UTM15_GS2,2014-07-31T00:00:00.000000
7EJQA2monp4IOECRfnty42,28467,41366,DE005C56_000000_018250_S_20140703_UTM15_GS2_3B,2014-07-03T00:00:00.000000
7EJQA2monp4IOECRfnty42,28467,38921,DE005C56_000000_018250_S_20140703_UTM15_GS2,2014-07-03T00:00:00.000000
7EJQA2monp4IOECRfnty42,28467,38677,L8_024032_20140626_UTM15_GS2,2014-06-26T00:00:00.000000
7EJQA2monp4IOECRfnty42,28467,38671,DE005C0AS_20140626_UTM16_GS2,2014-06-26T00:00:00.000000
7EJQA2monp4IOECRfnty42,28467,38348,DE005B8CP_20140614_UTM15_GS2,2014-06-14T00:00:00.000000
7EJQA2monp4IOECRfnty42,28467,38295,DE005B7E_018000_036468_S_20140613_UTM15_GS2,2014-06-13T00:00:00.000000
7EJQA2monp4IOECRfnty42,28467,37813,L8_024032_20140525_UTM15_GS2,2014-05-25T00:00:00.000000
7EJQA2monp4IOECRfnty42,28467,41976,DE00596BP_20140425_UTM16_GS2_3B,2014-04-25T00:00:00.000000
7EJQA2monp4IOECRfnty42,28467,37303,DE00596BP_20140425_UTM16_GS2,2014-04-25T00:00:00.000000
7EJQA2monp4IOECRfnty42,28467,35799,DE005189S_20130818_UTM15,2013-08-18T00:00:00.000000
7EJQA2monp4IOECRfnty42,28467,35749,DE00514AS_20130811_UTM16,2013-08-11T00:00:00.000000
7EJQA2monp4IOECRfnty42,28467,35391,U2003C40_000000_015499_P_20130626_UTM15,2013-06-26T00:00:00.000000
7EJQA2monp4IOECRfnty42,28467,35341,U2003B9F_015000_030499_P_20130619_UTM16,2013-06-19T00:00:00.000000
7EJQA2monp4IOECRfnty42,28467,35340,U2003B9F_015000_030499_S_20130619_UTM15,2013-06-19T00:00:00.000000
7EJQA2monp4IOECRfnty42,28467,35240,U2003A39_015000_030499_P_20130606_UTM15,2013-06-06T00:00:00.000000
7EJQA2monp4IOECRfnty42,28467,35069,DE004E1E_000000_018500_P_20130513_UTM16,2013-05-13T00:00:00.000000
7EJQA2monp4IOECRfnty42,28467,34469,DE00418AS_20120625,2012-06-25T00:00:00.000000
7EJQA2monp4IOECRfnty42,28467,34475,DE004164S_20120622SOUTH,2012-06-22T00:00:00.000000
7EJQA2monp4IOECRfnty42,28467,34449,DE0040D0P_20120609,2012-06-09T00:00:00.000000
7EJQA2monp4IOECRfnty42,28467,34451,DE0040AES_20120606,2012-06-06T00:00:00.000000
7EJQA2monp4IOECRfnty42,28467,34480,DE004046S_20120527SOUTH,2012-05-27T00:00:00.000000
7EJQA2monp4IOECRfnty42,28467,33503,DE003F97S_20120511,2012-05-11T00:00:00.000000
7EJQA2monp4IOECRfnty42,28467,576868,L8_024032_20210205_UTM15_GS2,2021-02-05T16:41:47.000000
7EJQA2monp4IOECRfnty42,28467,576871,L8_024032_20210120_UTM15_GS2,2021-01-20T16:41:49.000000
7EJQA2monp4IOECRfnty42,28467,576892,L8_024032_20201219_UTM15_GS2,2020-12-19T16:42:00.000000
7EJQA2monp4IOECRfnty42,28467,576900,L8_024032_20201203_UTM15_GS2,2020-12-03T16:42:01.000000
7EJQA2monp4IOECRfnty42,28467,576913,L8_024032_20200219_UTM15_GS2,2020-02-19T16:41:41.000000
7EJQA2monp4IOECRfnty42,28467,576921,L8_024032_20200203_UTM15_GS2,2020-02-03T16:41:44.000000
7EJQA2monp4IOECRfnty42,28467,576933,L8_024032_20200102_UTM15_GS2,2020-01-02T16:41:53.000000
7EJQA2monp4IOECRfnty42,28467,576951,L8_024032_20190216_UTM15_GS2,2019-02-16T16:41:24.000000
29cQ6sj8FngrwD516axwtX,73977,666867,RS2_268038_20220308_UTM14_GS2,2022-03-08T06:00:00.000000
29cQ6sj8FngrwD516axwtX,73977,792724,L9_029029_20220408_UTM14_GS2,2022-04-08T17:11:17.000000
29cQ6sj8FngrwD516axwtX,73977,793127,L8_028029_20220409_UTM15_GS2,2022-04-09T17:05:00.000000
29cQ6sj8FngrwD516axwtX,73977,793288,S2B_T14TQQ_20220409_172124_UTM14_GS2,2022-04-09T17:08:49.000000
29cQ6sj8FngrwD516axwtX,73977,862195,DEIMOS1_00B8B5SM_3_20220518_133220_UTM14_GS2,2022-05-18T13:32:20.000000
